category,government,government_problem,government_links,municipal,community,everyone
population,"
 
Vähendada perede kulusid alusharidusele. Selleks siduda lasteaiatasu lahti miinimumpalgast ning defineerida selgemini millistel alustel vabastatakse laps/lapsed lasteaia kohatasust. Täpsustada minimaalne lastehoiu kaugus lapsevanemale pakutud hoiukohast. Tõsta lastevanemate teadlikkust sellest, milleks lasteaia kohatasu kasutada saab. #rahvaalgatusveeb #lastekaitseliit #lastejaperedeprogramm","Probleem: kui peres on mitu lasteaia ealist last, võib sõltuvalt omavalitsusest kuluda lasteaia tasule (alusharidusele) arvestatav osa igakuisest pere eelarvest, mis seab lasterikkad pered kehvemasse majanduslikku olukorda. Vajaduspõhised soodustused on omavalitsustes ebaühtlased.  ",Sotsiaalministeeriumi laste- ja perede programm: https://www.sm.ee/et/lapsed-ja-pered,Luua noorte iseseisvumise toetamiseks nn ametikorterite laadne lahendus.,"Käivitada huviringidesse sõidu hõlbustamiseks e-süsteem, nn huvitakso: kaardistada vajadused ja võimalused (kellel vaja sõita kuhu), käivitada huvitakso (autopartner) ning huvitakso fond (panustab KOV, riik, ettevõtjad, eraisikud).","Saan rääkida oma tööandjaga, et ta aitaks luua avalikes/vaba aja veetmise kohtades lapse mängu- ja hoiukohti. "
population,"Täpsustada riigilt KOVle eraldatud huviharidustoetuse kasutamise tingimused selliselt, et toetus jõuaks enam lasteni. Igal lapsel peab olema võimalus käia vähemalt ühes tasuülempiiriga EHISes või spordiregistreis registreeritud ringis. #HTMnoortevaldkond #lasterikasteperedeliit","Probleem: kuigi riigieelarvest eraldatakse omavalitsustele huvihariduse parandamiseks lisatoetust, ei ole see tingimata huviharidusest osa saamise võimalusi suurendanud. ",Haridus- ja teadusstrateegia 2035: https://www.hm.ee/et/kaasamine-osalemine/haridus-ja-teadusstrateegia-aastateks-2021-2035,"Uurida millistel KOV asutustel on hoiukoha loomise järele vajadus, kas ja millist ressurssi nad selleks juurde vajavad. Luua laste mängunurkade-hoiukohtade rajamiseks toetusfond.","Mõelda välja ja käivitada startup-na ägedaid ja loovaid lastehoiu mudeleid: nt lapsed külakorda üksteisele külla, luua lapsehoiu- mängukohti kohalike asutuste juurde.","Kui oskaksin IT-d, teeksin äpi, mis aitaks lastevanematel sooduspakkumiste ja toetuste kohta rohkem infot leida."
population,"Indekseerida peretoetused, et inflatsioon ei halvendaks perede toimetulekut.  #rahvaalgatusveeb #lasterikasteperedeliit","Probleem: lasterikkus asetab pered kehvemasse majanduslikku olukorda. Majandusliku kindluse tagamiseks on oluline, et elukalliduse tõus ei halvendaks pere toimetulekut.  ",Rahvaalgatusveeb,"Analüüsida regulaarselt vallas/linnas elavate lapsevanemate vajadusi, et pakkuda peredele vajalikke ning kasutajasõbralikke teenuseid.","Kujundada laste kasvatamist toetavaid kogukonnateenuseid, sh arendada jagamismajandust, luua kaugtöökohad. ","Igaüks olla riigile aktiivne partner, anda tagasisidet ning vajalikke teavitusi."
population,Vaadata üle ja lihtsustada lastehoiu rajamise nõuded. #rahvaalgatusveeb,"Probleem: töö- ja pereelu ühildamiseks ei ole piisavalt taskukohaseid lastehoiuvõimalusi. Kui lastehoidu oleks lihtsam rajada, tekiks teenusepakkujaid juurde. ",Rahvaalgatusveeb,"Korraldada lastehoiuteenused paindlikumaks: toetada lapsehoidu võimaldavaid seltse/külamaju ning hoiukohti loovaid asutusi; jagada lasteaiakohti osalise ajaga töötavatele vanematele; pakkuda ka ajutist lastehoidu, jms. ","Aidata talgutööna kaasa kui mõni noor pere alustab maja ehitamist. Panustada saab materjalide, oma spetsiifiliste teadmiste, oskustega.","Saan aidata kujundada töökohtadel häid praktikaid - konsulteerida, harida tööandjaid võimalustest lapsehoolduspuhkusel oleva töötajaga kontakti hoidmiseks. Tööandjana saan olla eeskujuks. "
population,"Kindlustada, et igas detailplaneeringus ning ehitusloas, mis puudutab vähemalt 100 inimest, näidatakse kuidas toetatakse taristuga laste kasvatamist. #RaMplaneeringud
","Probleem: pered vajavad kodulähedasi teenuseid ning lastesõbralikku elukeskkonda. Kui sellele uusarenduste juures tähelepanu ei pöörata, ei soosi elukeskkond perede kasvu. ",Rahandusministeeriumi planeeringuvaldkond: https://www.rahandusministeerium.ee/et/ruumiline-planeerimine,"Tagada, et haridusasutuste juures olevad mänguväljakud on avalikus kasutuses.","Muuta laste huvitegevus mitmekesisemaks: leida inimesed, kes on valmis vabatahtlikuna osalema mitte-formaalse hariduse pakkumises.","Töötajana saan aidata kaasa laste hoiukohtade loomisse kaardistades hoidjad, keda tööle kutsuda."
population,"Laiendada KREDEXi lasterikaste perede kodutoetuse tingimusi ja portfelli, et kõigile lastele oleks võimalik tagada nende heaolu ja arengut toetav eluase. #MKMelamumajandus",Probleem: eluruumidega seonduv on üheks olulisemaks suureneva pere toimetulekut mõjutavaks probleemiks. Olemasolevatest toetusest saavad abi väga vähesed.  ,Majandus- ja Kommunikatsiooniministeeriumi elamumajandusvaldkond: https://www.mkm.ee/et/eesmargid-tegevused/ehitus-ja-elamumajandus/elamumajandus,Tagada lastele kodulähedane koolikoht.,"Võtta enda kanda kogukondlike ühisürituste ja perepäevade korraldamine, et luua ühistunnet perede vahel. ","Saan jagada oma koduehituse kogemust - mis maksab, kust saab materjali, ehistuspartnerid - et noortel oleks julgust oma kodu rajada."
population,"Suurendada riigi poolt finantseeritavate vanemluskoolituste mahtu ning tagada, et need oleksid kättesaadavad igas maakonnas, nii enne lapse sündi kui suuremate laste vanematele. #lastejaperedeprogramm ","Probleem: vanemluskoolitused on ebaühtlaselt kättesaadavad, kuigi huvi nende vastu on suur.  ",Sotsiaalministeeriumi laste- ja perede programm: https://www.sm.ee/et/lapsed-ja-pered,Toetada mitmekesist huviharidust. ,Olla talgute korras üksteisele abiks.,"Saan ise lastele üritusi ja koolitusi korraldada või minna kooli tundi läbi viima. Saan olla tugiisikuks noorele, kes seda vajab või edastada noorte tahtmist otsustajatele. "
population,Parandada pereteraapia kättesaadavust riik-KOV koostöös #lastejaperedeprogramm ,"Probleem: uuringud näitavad, et rahulolematus paarisuhtega on üheks põhjuseks, miks naised ei soovi (rohkem) lapsi saada. Pereteraapia ei ole kõigile soovijatele kättesaadav. ",Sotsiaalministeeriumi laste- ja perede programm: https://www.sm.ee/et/lapsed-ja-pered,Luua tingimused töö- ja pereelu ühildamiseks tagades infrastruktuur (nt käru ja lapsega tööle). ,"Tööandjate kogukond saab kujundada töö- ja pereelu ühildamise heaks tavaks, luua  vanematele tugivõrgustiku.",Saan algatada kogukonnas arutelu laste huviringidesse sõiduks jagamismajandusel põhineva e- süsteemi algatamiseks. 
population,"Võtta plaani perioodiline sündimuskäitumise ja vanemlushoiakute uurimine, mis aitaks hinnata hoiakuid ja võrrelda neid tegeliku käitumisega. Sh uurida emadust, isadust kui vanavanemlust. Tagada regulaarseks uuringutegevuseks ning tulemuste kommunikeerimiseks vajalikud ressursid. #lastejaperedeprogramm ","Probleem: kui regulaarsed uuringud puuduvad, ei saa kujundada mõjusaid poliitikaid.   ",Sotsiaalministeeriumi laste- ja perede programm: https://www.sm.ee/et/lapsed-ja-pered,Tunnustada paljulapselisi peresid. ,"Luua rahatarkuseks eeskujusid. Kellel vaja, neile õpetada rahavaäärtust. ","Saan tööandjana pakkuda kaugtööks võimalusi. Headest näidetest tuleb rääkida, neid kes kõhklevad koolitada. Ise tuleb julgemalt küsida kaugtööks võimalust, aga ka seada piiri töö ja eraelu vahel. Vajadusel julgen tööd ja eriala vahetada."
population,"Luua lapsevanematele ühtne ja kasutajasõbralik teenusplatvorm. Kuna käimas on eesti.ee arendmine, võtta laste- ja peredega seotud teenuste arendustööd ette eelisjärjekorras, siduda hetkel erinevad platvormid nagu SKA, Haigekassa, tarkvanem.ee ning parandada teavitussüsteemi. #sotsiaalministeerium #majandusjakommunikatsiooniministeerium","Probleem: info laste kasvatamiseks ning pere turvatunde loomiseks oluliste teenuste kohta on killustunud ning eesti.ee platvorm ei ole kõige kasutajasõbralikum. Nii ei tea paljud vanemad soodustustest, mis on neile riigi poolt tagatud, ega jõua mugavalt teenusteni. ",Majandus- ja kommunikatsiooniministeerium infoühiskonna teenuste arendamine:  https://www.mkm.ee/et/tegevused-eesmargid/infouhiskond/infouhiskonna-teenused,Korraldada lapsevanematele vajaduspõhiselt rahaplaneerimise koolitusi. ,,"Saan koduseid tegemisi lastega jagada, olla kogukonnas aktiivne ning korraldada peredele mõeldud üritusi.  "
national-migration,Suunata kütuseaktsiisist suurem ja kokkulepitud osa teede korrashoidu. #rahandusministeerium #rahvaalgatusveeb,"Probleem: kehv teede olukord pärsib liikuvust, vähendab teenuste kättesaadavust ning muudab tootmise ja turundamise kallimaks.  ",Rahandusministeeriumi maksupoliitika valdkond: https://www.rahandusministeerium.ee/et/maksu-ja-tollipoliitika,Võimaldada kogukonnaühingutele tegevustoetust ühisürituste korraldamiseks.,Luua kogukonnas turvatunnet. Julgustada üksteist omavahel suhtlema ja teineteist aitama. ,Toetan oma tarbimisvalikutega Eesti väikeettevõtlust ja puhkan Eestis.
national-migration,Viia kvaliteetne ettevõtlusõpe kõikidesse koolidesse. #üldharidusprogramm,Probleem: ebaühtlane ettevõtllusharidus loob noortele ebavõrdse stardipositsiooni. ,Haridus- ja teadusstrateegia 2035: https://www.hm.ee/et/kaasamine-osalemine/haridus-ja-teadusstrateegia-aastateks-2021-2035,Enne otsustamist küsida ja aktsepteerida kogukonna arvamust. ,Eelistada teenuste valikul kohalikke väikeettevõtteid. ,Jätkan ka ise maal elamist ja olen aktiivne.
national-migration,"Anda KOVile õigus ja ressursid, et tegeleda elamuehituse ja ettevõtlusmaa arendusega (maa ja hoonestusõigus). #regionaalarengustrateegia",Probleem: sobiva eluaseme puudumine on üheks takistuseks maale elama asumisel. KOVide valmisolekut investeerida elamuehitusse ja ettevõtlusmaa arendamisse takistab munitsipaalmaa vähesus.,Regionaalarengu strateegia: https://www.rahandusministeerium.ee/et/regionaalareng-ja-poliitika,Toetada ja kiita oma kogukondi ning suhelda nende vajadustest riigiga.,Luua tugisüsteemid paindlikuks töötamiseks. ,Olen  ettevõtlik kogukonnaliige ja osalen kogukonna juhtimises - ürituste korraldamises ning suhtlusringi laiendamises.
national-migration,"Arendada edasi riiklikku üürimajade programmi, kaasata sellesse ka erakapitali. #MKMelamumajandus",Probleem: sobiva eluaseme puudumine on üheks takistuseks maale elama asumisel. ,MKM elamumajandus: https://www.mkm.ee/et/eesmargid-tegevused/ehitus-ja-elamumajandus/elamumajandus,"Tekitada kaugtöökohti ning kaugtöö võimaluste edendamiseks lobistada ettevõtjaid, pakkuda neile soodustusi.","Kogukond käib koos ja leiab ühisosa, korraldab üritusi, loob vajalikke teenuseid ja töökohti. Kogukond räägib-räägib-räägib",Võtan ausa ettevõtjana vastutuse ja ei kuritarvita võimalikke maksusoodustusi 
national-migration,"Leppida kokku avalike teenuste miinimumstandardid ning riigi tugi teenuste tagamiseks regioonides, ametikohtade mehitamiseks. #rahvaalgatusveeb #Eesti2035 #heaoluarengukava","Probleem: avalike teenuste kättesaadavus ja kvaliteet on ebaühtlased, mis mõjutab kohalikku elukvaliteeti ning võib sundida kodukohast lahkuma. ","Eesti 2035: https://www.riigikantselei.ee/et/Eesti2035
Heaolu Arengukava: https://www.sm.ee/et/heaolu-arengukava-2016-2023 ",Võimaldada huvilistele maale kolimise toetust. ,"Olla vastuvõtlik ja avatud, kokku hoidev ja suhtlusaldis. ","Annan teada oma vajadustest, kui miski takistab mul töötamist, teenuste kasutamist, enesearendamist."
national-migration,Seada tasakaalustatud Eesti areng prioriteediks Eesti elu kujundamisel lähiaastatel. #Eesti 2035 ,"Probleem: areng on üle Eesti olnud ebaühtlane, mis kasvatab ebavõrdsust ning ei toeta ühtlast riigi ja rahvastiku arengut. ",Eesti 2035: https://www.riigikantselei.ee/et/Eesti2035,"Kaardistada piirkonna kasutamata ressursid, luua võimalusi ettevõtluseks, kaasfinantseerida ja teavitada elanikke teenustest.","Tervitada uusi tulijaid ja hoida vanu olijaid. Suhtuda positiivselt omadesse, kes on kaugel.",Maal elamisest rääkides keskendun positiivsele.
national-migration,Seada liikuvus ning hea transpordikorraldus riigi prioriteediks. #Eesti 2035,"Probleem: vähesed liikumisvõimalused tekiavad tõrjutust ning ebavõrdsust, raskendavad ettevõtlust.  ",Eesti 2035: https://www.riigikantselei.ee/et/Eesti2035,"Toetada kohalikke ettevõtjaid, ergutada kinnisvaraturgu. ","Kutsuda oma külakeskustesse eksperte ja eestvedajaid, kes korraldavad arutelusid, häkathone jms.","Ma ei pea kartma paindlikku tööd ja saan tööandjaga koos rääkida läbi ohud, aga ka kasu."
national-migration,"Luua ettevõtlusega alustamise innustamiseks maapiirkondadele kättesaadavaid ja paindlikke toetuslahendusi (sh maksude ülevaatamine, laenuvõimalused, soodustused). #regionaalarengustrateegia",Probleem: olemasolevad ettevõtluse alustamise ja arendamise meetmed ei arvesta piisavalt maal ettevõtluse alustamise keerukusega ning jäävad kättesaamatuks. ,Regionaalarengu strateegia: https://www.rahandusministeerium.ee/et/regionaalareng-ja-poliitika,Võtta liidriroll - näidata üles huvi ja leida lahendusi oma piirkonna inimeste probleemidele. ,"Käivitada tugiprogramm, kus liikuvad loomeinkubaatorid käivad külakeskustes ja rahvamajades: a) kaardistavad piirkonna ressursid ja väljakutsed b) toimuvad häkathonid või mõttetalgud lahenduste leidmiseks c) koos on eksperdid  ja kohalikud d) kaasatakse disainerid e) kaasnev haridusprogramm lastele ja noortele f) loomekeskustest kasvavad välja mittekohapõhiste töökohtade pesad. ",Saan ise ettevõtte luua ja olla eeskujuks teistelegi.
