category,government,government_problem,government_links,municipal,community,everyone
national-migration,"Korraldada maksupoliitika teemaline debatt regionaalpoliitiliste vajaduste ja võimaluste, võimalike alternatiivide täpsustamiseks (nt Investeeringutoetuste vs maksusoodustuste mõju) #regionaalarengustrateegia","Probleem: maksuerisused võiksid olla üheks lahenduseks maapiirkondade ebavõrdsete tingimuste vähendamisel, kuid puudub erinevate meetmete mõjususe võrdlev analüüs ning kokkulepe.  ",Regionaalarengu strateegia: https://www.rahandusministeerium.ee/et/regionaalareng-ja-poliitika,Renoveerida tühjalt seisvad majad.,"Korraldada kokkusaamisi, tunnustada ja kiita aktiivseid panustajaid. ",Saan ise oma pere ja ideedega maale elama minna. 
national-migration,"Luua tingimused ""Maale elama!"" päeva korraldamiseks, sellest traditsiooni kujundamiseks #maaeluministeerium","Probleem: maaelu kuvand ei ole piisavalt atraktiivne, et rohkem inimesi näeks maapiirkonnas potentsiaali endale elu- ning töökoha rajamiseks.  ",Maaeluministeerium: https://www.agri.ee/et/eesmargid-tegevused/maaettevotlus-ja-maaelu,"Kindlustada kohalikes omavalitsustes ettevõtjatele vajalikud teenused, mh aidata ettevõtjaid bürokraatia ning ettevõtluseks vajalike nõuete kiirel lahendamisel.","Luua kogukonnas vaba aja tegevuse, huvihariduse võimalusi, ühistegemise maja.",Muudan ise kogukonnaelu aktiivsemaks.
national-migration,"Edendada kodanikuharidust, sh praktilised koolitused, edulood, kohaliku demokraatia arendamiseks. #kodanikuühiskonnaprogramm","Probleem: kui kohalikel inimestel puudub võimalus rääkida kaasa kohaliku elu kujundamises, ei pruugi teenused ja võimalused vastata kogukonnaliikmete vajadustele. Puudust tunnetades hakkavad nad uut elu- ja töökohta otsima. ",Kodanikuühiskonna programm: https://www.siseministeerium.ee/et/tegevusvaldkonnad/kodanikuuhiskond/kodar,"Soodustada koostöövõrgustike ja jagamismajanduse teket, võimaldada toetust ja soodustusi uutele tulijatele. ",Jagada infot maaelu kohta ning hoida elus vanu traditsioone.,Hoian oma välismaale õppima ja tööle läinud sõpradega sidet.
national-migration,Kujundada maaelu tutvustav haridusprogramm #maaeluministeerium,"Probleem: noored ei vali elukohaks maapiirkonda, sest maaelu on nende jaoks võõras. ",Maaeluministeerium: https://www.agri.ee/et/eesmargid-tegevused/maaettevotlus-ja-maaelu,"Teada, keda on inimestest piirkonda vaja, teha korduvalt otsingut, et kasutada asjatundjate potentsiaali. ",,"Käin ja räägin igal võimalusel, kui oluline on maaelu jätkumine ja Eesti looduse säilimine. "
national-migration,"Luua motivatsioonipakett kohalikele omavalitsustele, et neil oleks ressurssi ja võimekust olla kohaliku ettevõtluse aktiveerijaks 
(sh tulumaksu jagamine elu- ja töökoha vahel, riigimaa eraldamine). #regionaalarengustrateegia ","Probleem: palkade ebavõrdsus sunnib rändama maapiirkonnast linna või välismaale. Kohalikud omavalitsused võiksid olla ettevõtluskeskkonna arendajaks  ja aidata kaasa targemate töökohtade loomisele, kuid neil puudub selleks nii võimekus kui ressurss. ",Regionaalarengu strateegia: https://www.rahandusministeerium.ee/et/regionaalareng-ja-poliitika,Hoida oma piirkonna noortega sidet ka nende õpingute ajal ja kaasata neid kohalikku ellu. ,,Osalen aktiivselt maa-elus ning hoian elus traditsioone. 
national-migration,,,,Pakkuda soodsamalt elamukrunte. ,,Mul on võimalus valida õiged inimesed omavalitsuse volikokku ja Riigikokku.
national-migration,,,,"Tagada teede, puurkaevude jm taristu korrashoid, kaotada bürokraatlikud takistused. Pakkuda tugiteenuseid nagu lasteaiakohad, kool, perearst, vallamaja jmt, et julgustada maale kolimist.",,Koondan heade ideede taha teised inimesed. 
international-migration,"Tutvustada positiivseid ning lõimumist toetavaid hoiakuid, et kõik Eestisse panustavad inimesed tunneksid toetust ning sõltumata päritolust end turvaliselt, oodatud ja kasulikuna. #lõimumiskava","Probleem: välismaalastesse suhtutakse eelarvamustega ja ei hinnata nende võimalikku positiivset panust ühiskonda, majandusse ja kultuuriellu.",Lõimumiskava: https://www.kul.ee/et/eesmargid-tegevused/kultuuriline-mitmekesisus/valdkondlik-arengukava-loimuv-eesti-2020,"Aidata kaasa, et hariduse korraldamisel teadvustataks erinevusi.",Teadvustada oma tegemistes  inimeste erinevusi ja nendega arvestada,"Erinevuste teadvustamisele ja eetilisele käitumisele aitab kaasa kui mõtlen positiivselt ja teadvustan, et armastus on kõige alus"
international-migration,"Motiveerida ja julgustada kohalikke omavalitsusi, vabaühendusi ja ettevõtjaid lõimumisvaldkonnas aktiivsemalt osalema. #lõimumiskava","Probleem: Eestis elavad teistest rahvustest inimesed tajuvad ebavõrdseid võimalusi ühiskonnaelus osalemises, töö-, haridus- kui kultuurielus. Huvi lõimumisalgatusteks on madal, kuigi toetusvõimalused on olemas. ",Lõimumiskava: https://www.kul.ee/et/eesmargid-tegevused/kultuuriline-mitmekesisus/valdkondlik-arengukava-loimuv-eesti-2020,Algatada ühistegevusi ning lõimumisprojekte oma kogukonna inimeste vahel sidususe loomiseks.,Tunnustada ja esile tõsta kogukonnas aktiivselt tegutsevaid toredaid välismaalasi.,"Saan välismaalastest töötajad viia kokku meediaga, Eestisse tööle tulnule tutvustada Eesti elu ja traditsioone, inimesi."
international-migration,"Täiendada üldhariduskoolide õppekava, ainekavu ning õpetajakoolitust sisuga, mis  aitaks mitmekultuurilise ühiskonna temaatika võrdselt kõigi koolilasteni viia. #üldharidusprogramm","Probleem: välismaalastesse suhtutakse eelarvamustega ja ei hinnata nende võimalikku positiivset panust ühiskonda, majandusse ja kultuuriellu.",Haridus- ja teadusstrateegia 2035: https://www.hm.ee/et/kaasamine-osalemine/haridus-ja-teadusstrateegia-aastateks-2021-2035,Luua kohaliku kooli baasil väliseesti sihtgrupile kohandatud haridusteenuste pakett.,Algatada ühistegevusi ning lõimumisprojekte oma kogukonna inimeste vahel sidususe loomiseks.,
international-migration,"Alustada süsteemsemat tööd väljarännanud eestlastega sideme hoidmiseks, et nad teaksid, et on oodatud tagasi ning naasmine oleks lihtsalt korraldatav. #lõimumiskava #HTM","Probleem: tagasirändajatesse suhtutakse mõnikord kui läbikukkujatesse, kes välismaal hakkama ei saanud. ",Lõimumiskava: https://www.kul.ee/et/eesmargid-tegevused/kultuuriline-mitmekesisus/valdkondlik-arengukava-loimuv-eesti-2020,"Anda auhind piirkonnale, kes on suutnud tagasi meelitada rändajaid või teinud nendega head koostööd.",,
work,"Täpsustada TTOS-i töökohta puudutavate nõuete osas tööandjale, et kaugtöö võimalus oleks arvesse võetud. #SOMtöövaldkond","Probleem: kaugtöö potentsiaal on kasutamata, osaliselt võib olla põhjuseks tööandja ebakindlus TTOS nõuete täitmise osas. ",Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,"Tunnustada kaasavaid tööandjaid, kaugtööd võimaldavaid kohalikke ettevõtjaid. ","Teha koostööd, parimate lahenduste üle diskuteerida.","Ostan Eesti tooteid ja teenuseid, maal elades ja ettevõtjana tegutsedes võimaldan paindlikku tööd oma töötajatele."
work,Muuta töölepinguseadust võimaldades pikemat valveaega. #SOMtöövaldkond,Probleem: kehtiv seadus ei toeta paindlikke töövorme.  ,Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,Toetada vallas/linnas tegutsevate ettevõtjate koolis/kursustel käimist - heaks tööandjaks õppimist.,Viriseda vähem. ,Toetan laste ettevõtlikkuse kujunemist oma teadmiste ja kogemustega.
work,"Anda kiirendus õpikonto idee edasiarendamisele, (1) tekitades ülevaate olemasoleva tööjõu kvalifikatsioonidest(2) ühendades ühele platvormile olulisemad tööturuteenused (3) soodustades täiend- ja ümberõpet. #SOMtöövaldkond","Probleem: täiend- ja ümberõpe ei ole piisavalt toetatud, uues valdkonnas on inimestel keeruline tööd leida. ",Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,"Tagada, et oleks loodud piisavalt töökohti sotsiaaltöötajatele, tugiisikutele, psühholoogidele, noorsootöötajatele, kes tegelevad noortega. Vajadusel suurendada nende spetsialistide palgafondi.  ",Koordineerida ja organiseerida kogukonnamajade tööd.,Ettevõtjana loon praktikabaase.
work,Vabastada töötusriskiga gruppide osakoormusega värbamisel tööandjad sotsiaalmaksu miinimumi tasumise nõudest. #SOMtöövaldkond,"Probleem: töötajatel on vähe võimalusi paindlikuks, sh osakoormusega tööks. See jätab osa töövõimelistest inimestest tööturult kõrvale.  ",Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,"Arvestada kohaliku transpordi hangetel kohalike inimeste vajadustega töö-kodu liikumiseks (liinid, peatused, graafikud, hinnad jne). Kujundada ühistransporditeenused paindlikumaks. ","Julgustada üksteist ümber õppima, jagada infot, innustada oskusi teistega jagama.","Saan osaleda aruteludes ja levitada teadmist, mis on vajalik probleemide lahendamiseks."
work,"Vabastada 13% sotsiaalmaksust tööle kaasatud õpipoiste värbamine (õpilased ja üliõpilased), kes on juba ravikindlustusega kaetud. #tööandjad #SOMtöövaldkond",Probleem: maksukoormus ei motiveeri palkama veel ametit õppivaid töötajaid paralleelselt juhendamisega. ,Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,Olla jõulisemalt dialoogis riigiga paindlike töövõimaluste arendamise võimaluste küsimuses. ,"Muuta ümber/täiendõpe kogukonnas normaasluseks, tutvustada kogukonnasiseselt üksteise töid.","Sotsiaalteenuste arendamiseks luban märgata hädasolijat, aeg-ajalt panustada vabatahtlikuna."
work,"Kehtestada võimalus töötustaatuseks ka inimesele, kes saab teatud piirmäära ulatuses käsunduslepinguga töötades töötasu. #SOMtöövaldkond",Probleem: enesetäiendamine/ümberõpe ning tööotsingud ei tohiks välistada üksikute tööampsude tegemist. ,Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,"Võimaldada õppijatele toetusi, tugisüsteeme ettevõtlusega alustamiseks. Aidata kaasa uute töökohtade loomisele. ",Soetada transpordivahendeid ühiselt (ühistuliselt). Kogukonnas jagada sõiduinfot.,"Tööotsijana saan nõuda kaugtöövõimalust, tööandjana kaugtööd võimaldada ja teistele oma häid kogemusi jagada"
work,Täpsustada riiklikus strateegias minimaalsed nõuded (sh noorsootöötaja) noortetööks KOV tasandil ning tagada KOVle vajalikud vahendid kirjeldatud teenuste pakkumiseks. #noortevaldkonnaprogramm,Probleem: liiga paljud noord ei tööta ega õpi. KOV noortetöö ei ole ühtlaselt kvaliteetselt korraldatud ning see ei toeta riiklikult noorsootööle seatud eesmärke.  ,Haridus- ja teadusstrateegia 2035: https://www.hm.ee/et/kaasamine-osalemine/haridus-ja-teadusstrateegia-aastateks-2021-2035,Olla eeskujuks pakkudes osakoormusega töötamise võimalusi. Rakendada ametiasutustes paindlikku tööaega.,"Õppeasutuste hoolekogudes saab püstitada eesmärke ja hoida silm peal, et kooliharidus arvestaks kõigi laste vajadustega.","Selleks, et inimestel oleks rohkem ümberõppe võimalusi saan panustada e-õppe kursustega; aidata info digitaliseerimisega; võimaldada tulla endale töövarjuks."
work,Koolitada juhte ja personalijuhte noorte värbamise spetsiifikast. #SOMtöövaldkond,"Probleem: noorte ootused tööle ei vasta tööturul pakutavale, ootustega mittearvestamine jätab nad tööturult kõrvale. ",Sotsiaalministeeriumi töövaldkond: https://www.sm.ee/et/toohoive,"Luua tingimused, et valla elanikel oleks võimalik liikuda ka äärealale kaugtööle, aidates soetada eluaset, pakkudes laseteaiakohti, huvitegevust, meelelahutusvõimalusi, elukeskkonda ja infot võimaluste kohta.",Leppida olulises ühiselt kokku ning mõjutad otsusetegijaid.,Et nutikamad transpordilahendused hakkaksid tööle saan ma osaleda transpordi jagamise skeemides
work,Alustada kaasava juhtimisprotsessi õpetamisega juba põhi- ja keskkoolis (+kutse- ja ülikoolis). #üldharidusprogramm,Probleem: juhtimiskvaliteet on Eesti ettevõtetes ja organisatsioonides madal. ,Haridus- ja teadusstrateegia 2035: https://www.hm.ee/et/kaasamine-osalemine/haridus-ja-teadusstrateegia-aastateks-2021-2035,"Jagada ümberõppe võimaluste kohta infot, suunata töötajaid ja ka teisi kogukonnaliikmeid ümberõppele.",Toetada omavalitsuse kaasavat tegutsemist ja välja vilistada käsud-keelud.,Juhtimiskvaliteedi paranemiseks püüan juhina praktiseerida juhtimisvastutuse jagamist. Püüan kaasata teisi seltskondlikku/meeskondlikku juhtimisse. Tegelen enda jaoks juhtimise lahti mõtestamisega.
work,Luua tellimuspõhise liikuvuse toetav raamistik ja mudel,Probleem: liikumis- ja transpordivõimalused ei toeta  paindlikke töövorme ning kaugtööd. ,,"Tellida teenuseid oma KOVi noortelt ettevõtjatelt, positiivseid näiteid sõeluda ja võimendada, toetada noorte kogemusvahetuse programme.","Ühised ettevõtmised, noorte kaasamine, väärtushinnangute kujundamine, märkamine, tunnustamine.","Selleks, et noortel oleks ettevõtluse alustamiseks rohkem tuge ja võimalusi, saan mina olla vabatahtlikuks mentoriks, pakkuda abi vastavalt oskustele ja vajadustele."
work,"Parandada karjääriõppe terviklikkust, lisades erinevaid võimalusi ja programme. Mh motiveerida karjääriõppe juhendajaid koostööks ettevõtjatega. Kaaluda karjääriõppe kohustuslikuks muutmist. #üldharidusprogramm","Probleem: liiga paljud noortest ei tööta ega õpi. Karjääriõpe ei ole ühtlaselt kättesaadav, mis loob noortele ebavõrdse stardipositsiooni.  ",Haridus- ja teadusstrateegia 2035: https://www.hm.ee/et/kaasamine-osalemine/haridus-ja-teadusstrateegia-aastateks-2021-2035,"Korrastada kogukonna/kogukondade ideed ja viia need selge sõnumina edasi (omavalitsusliidud, ministeerium)","Rääkida kaasa hariduse teemadel, pöörata kollektiivselt tähelepanu sellele, et me ei kasvataks üles uusabitut pölvkonda, väärtushinnangud ja suhtumine korda, teineteise toetamine ja öpetamine.","Selleks, et puuetega inimestel oleks rohkem töövõimalusi, saan pakkuda tööandjale oma puudega sõpra (soovitajana)."
work,,,,"Soodustada kaugtööd: toetada kaugtöökeskuste/multifunktsionaalsete kogukonnakeskuste rajamist (päeval avatud kontor-kaugtöökeskus, õhtul muud kogukonna üritused/teenused). ",Koostöös huvitatud organisatsioonidega koondada ja levitada häid kaugtööpraktikaid.,"Jagan kogemuslugusid ja teadmist koolide-tööandjate koostööst, jagada kogemust enda panusest töötajate arengusse ja täiendõppesse, järelkasvu tagamisse."
work,,,,"Viia kokku kohalikud tööandjad ja haridusasutused, pakkuda neile koostööks tuge ja know-howd, sh ettevõtlus-eeskujude seadmine edulugude jutustamise kaudu. ",Korraldada ümberõppe populariseerimise programm 45+ sihtrühmale (nt. tööandjate -Töötukassa koostöös).,"Saan olla eeskujuks - ei kiirusta. Olla ise ettevõtja, kes mõõdab tulemusi teisiti kui sissepandud ajas."
work,,,,Rahastada puuetega inimeste transporti (tööle ja koju).,Tuua esile häid näiteid töötavatest erivajadustega noortest.,"Saan lastele selgitada, et töötada saab erinevatel viisidel."
work,,,,,Kommunikeerida edukate ettevõtete näidetele tuginedes miks on töötajate kaasamata jätmine majanduslikult kahjulik.,"Näiteks psühholoogide seas saaks korraldada ""speed-date"" ürituse, kus toimub psühholoogide ja abivajajate kokkuviimine."
work,,,,,,Ei mõista naabrit hukka ega võistle temaga.